config,beta,n,score_drift_mse,mean_abs_dsigma,mean_abs_dlogit,flip_rate,auc,inv_eps_b
deepset,0.0,2000,0.0,0.0,0.0,0.0,0.972805,166.66666666666666
deepset,0.1,16000,0.0034765276636312273,0.024524057926559067,0.4227182247261819,0.017125,0.970822328125,205.12820512820514
deepset,0.2,16000,0.013591173263399455,0.0506798210321638,0.8017881922072445,0.0435625,0.96447778125,190.47619047619045
deepset,0.3,16000,0.027723945479106737,0.07663579850744895,1.1664981031789576,0.073125,0.954472703125,129.03225806451613
deepset,0.4,16000,0.04351338135283209,0.10169742353086415,1.5349031464066742,0.0990625,0.94452209375,102.56410256410257
deepset,0.5,16000,0.062075804400551785,0.12797608616883216,1.8984557537208067,0.129625,0.934076484375,85.1063829787234
deepset,0.6,16000,0.08700169787043258,0.15908254954948767,2.3584703299000664,0.1644375,0.91718371875,71.42857142857143
deepset,0.7,16000,0.12526786715765753,0.2015963629588648,3.0086837614251816,0.2140625,0.88844928125,57.55395683453237
deepset,0.8,16000,0.1804946876917515,0.25663295300434913,4.0222516695438,0.272875,0.83603240625,44.19889502762431
deepset,0.9,16000,0.2523890539848828,0.32510082905871607,5.751190051403039,0.3425625,0.732733859375,32.1285140562249
deepset,0.95,16000,0.29933872667838207,0.3697430814476461,7.2387083764890505,0.3885625,0.63131484375,20.887728459530027
