config,beta,n,score_drift_mse,mean_abs_dsigma,mean_abs_dlogit,flip_rate,auc,inv_eps_b
16:16:16,0.1,16000,1.9634799113913618e-09,2.173622621394741e-06,1.535797119140625e-05,0.0,0.950554,58.8235294117647
16:16:16,0.2,16000,1.3348561686393265e-09,1.8162530956269792e-06,1.285552978515625e-05,0.0,0.950554,58.8235294117647
16:16:16,0.3,16000,2.68016783928539e-07,9.862536743611618e-06,0.00014263916015625,0.0,0.950553953125,58.8235294117647
16:16:16,0.4,16000,3.836148133877279e-07,1.529033931666059e-05,0.0002295379638671875,0.0,0.95055303125,58.8235294117647
16:16:16,0.5,16000,3.9761017245175286e-07,1.8104480318565007e-05,0.000293243408203125,0.0,0.950554515625,58.8235294117647
16:16:16,0.6,16000,6.950740144409326e-07,3.056218043101585e-05,0.0005144424438476563,0.0,0.9505539375,58.8235294117647
16:16:16,0.7,16000,7.022052633336595e-07,3.378119026670048e-05,0.0005637893676757813,0.0,0.950553546875,58.8235294117647
16:16:16,0.8,16000,4.398406899082138e-05,0.00018623103689436137,0.0018431015014648438,0.000125,0.95052625,58.8235294117647
16:16:16,0.9,16000,0.00037708267350663197,0.0013442238153860947,0.010305335998535156,0.0014375,0.950315203125,58.8235294117647
16:16:16,0.95,16000,0.0013178698834665546,0.004487517739908531,0.03235626220703125,0.0053125,0.94936521875,59.25925925925925
24:24:24,0.0,2000,0.0,0.0,0.0,0.0,0.965482,125.0
24:24:24,0.1,16000,1.6276513136282602e-11,1.397025444058207e-06,1.1676192283630371e-05,0.0,0.965481265625,125.0
24:24:24,0.2,16000,1.7169718715068484e-11,1.452635268112855e-06,1.2248814105987549e-05,0.0,0.96548159375,125.0
24:24:24,0.3,16000,5.679098860564812e-06,3.918557171399299e-05,0.0015810880661010743,0.0,0.96548134375,125.0
24:24:24,0.4,16000,8.788853586886549e-06,6.654917906473909e-05,0.0029809269905090334,0.0,0.965481828125,125.0
24:24:24,0.5,16000,9.641219742937103e-06,8.420365559582327e-05,0.004917344987392425,0.0,0.965481796875,125.0
24:24:24,0.6,16000,1.5981213757878506e-05,0.00015264898178975094,0.009695043265819549,0.0,0.965481515625,125.0
24:24:24,0.7,16000,1.7522905574911258e-05,0.0001750002525484719,0.01201424652338028,0.0,0.965482875,125.0
24:24:24,0.8,16000,0.00022740948047229837,0.0006127051623180761,0.027841853380203247,0.0003125,0.96544090625,125.0
24:24:24,0.9,16000,0.001979951394510192,0.0036341524910531806,0.11263246428966522,0.0029375,0.96265065625,125.0
24:24:24,0.95,16000,0.006479431231686942,0.011475351107830982,0.31648702698946,0.00975,0.952916265625,125.0
float,0.0,2000,0.0,0.0,0.0,0.0,0.964949,111.11111111111111
float,0.1,16000,1.1072035844433054e-11,1.1433234388281829e-06,7.164715782465627e-06,0.0,0.964949296875,111.11111111111111
float,0.2,16000,1.405746719886038e-11,1.212123109427761e-06,7.647038200093186e-06,0.0,0.96494915625,111.11111111111111
float,0.3,16000,1.7070863248183254e-11,1.2836190668140406e-06,8.09459793074115e-06,0.0,0.964949015625,111.11111111111111
float,0.4,16000,3.3414276260367845e-11,1.426387628703541e-06,8.943589689449467e-06,0.0,0.96494884375,111.11111111111111
float,0.5,16000,3.5137050895314146e-11,1.6441924174963162e-06,1.0418931150834534e-05,0.0,0.96494896875,111.11111111111111
float,0.6,16000,4.469152792417035e-11,1.962631665814642e-06,1.248922078228221e-05,0.0,0.964948953125,111.11111111111111
float,0.7,16000,1.0838333431163199e-10,2.618002922291415e-06,1.6612203470493817e-05,0.0,0.964949640625,111.11111111111111
float,0.8,16000,2.7171714834218136e-10,3.820868410642155e-06,2.3996307636918505e-05,0.0,0.96494878125,111.11111111111111
float,0.9,16000,8.26087095649273e-10,7.46635986778023e-06,4.7660725546610464e-05,0.0,0.964948640625,111.11111111111111
float,0.95,16000,3.7998121568089014e-09,1.5136512275897265e-05,9.612148978045398e-05,0.0,0.96494728125,111.11111111111111
