config,beta,n,score_drift_mse,mean_abs_dsigma,mean_abs_dlogit,flip_rate,auc,inv_eps_b
6:6:12,0.2,16000,0.0004892425044926616,0.010130322437040594,0.04878125,0.02525,0.766117546875,27.303754266211605
6:6:12,0.3,16000,0.0007532889391999449,0.014556465424638473,0.069890625,0.0373125,0.764965296875,26.936026936026938
6:6:12,0.4,16000,0.0010503998426799688,0.019177601577486363,0.0920390625,0.0466875,0.7645464375,26.402640264026402
6:6:12,0.5,16000,0.0014435110944725645,0.024348122701472276,0.1165703125,0.057875,0.763943140625,25.641025641025642
6:6:12,0.6,16000,0.0019796987563927898,0.030276694342202252,0.144203125,0.0715625,0.761920796875,24.767801857585138
6:6:12,0.7,16000,0.0027413461855819586,0.03752840687305503,0.1781171875,0.0868125,0.75986453125,21.85792349726776
6:6:12,0.8,16000,0.00429371937268677,0.04840501153963152,0.228671875,0.109625,0.75793825,22.72727272727273
6:6:12,0.9,16000,0.008235057656824746,0.06857039248841838,0.3224921875,0.1496875,0.753346296875,17.738359201773836
6:6:12,0.95,16000,0.013899631771514695,0.09011263190724114,0.424453125,0.1855,0.739316640625,18.95734597156398
8:8:16,0.0,2000,0.0,0.0,0.0,0.0,0.814599,25.0
8:8:16,0.1,16000,0.00017405582322321244,0.006423761508706447,0.034341796875,0.011875,0.81451646875,25.0
8:8:16,0.2,16000,0.00034475216645318217,0.011104504130361459,0.05890234375,0.020625,0.814464796875,25.889967637540455
8:8:16,0.3,16000,0.0005563460849741719,0.015590390435089231,0.08225,0.028625,0.814066375,25.806451612903228
8:8:16,0.4,16000,0.000814115933646462,0.019946498411542217,0.10501953125,0.0351875,0.81272578125,26.755852842809364
8:8:16,0.5,16000,0.001148673685039853,0.024516330538997714,0.129544921875,0.0400625,0.8113340625,25.889967637540455
8:8:16,0.6,16000,0.0016650624130917224,0.030286317312737805,0.160083984375,0.046625,0.8087568125,24.464831804281346
8:8:16,0.7,16000,0.0026267052072183814,0.037992010362081656,0.20189453125,0.0533125,0.803545,24.691358024691358
8:8:16,0.8,16000,0.004655060899954504,0.04983338308761422,0.271931640625,0.0664375,0.799425578125,23.73887240356083
8:8:16,0.9,16000,0.010040201648930169,0.07238748290645873,0.416310546875,0.0885,0.788423875,19.753086419753085
8:8:16,0.95,16000,0.019142126883355877,0.09977919482836112,0.617314453125,0.1105625,0.765692625,15.968063872255488
12:12:16,0.0,2000,0.0,0.0,0.0,0.0,0.768259,28.57142857142857
12:12:16,0.1,16000,4.407293274162098e-05,0.00434849400790495,0.021484619140625,0.0050625,0.768489,28.880866425992778
12:12:16,0.2,16000,0.00012967916954991708,0.00802169689604899,0.039474609375,0.009625,0.768479,29.1970802919708
12:12:16,0.3,16000,0.000262777360952284,0.011599422481928199,0.0568558349609375,0.014125,0.768114171875,29.9625468164794
12:12:16,0.4,16000,0.0004500485192273566,0.015318996554134849,0.075035888671875,0.01975,0.76747128125,29.304029304029303
12:12:16,0.5,16000,0.0006975094357523348,0.01926810613046512,0.0943035888671875,0.024375,0.76681421875,29.850746268656714
12:12:16,0.6,16000,0.0010379470529953683,0.02374511041576203,0.1161854248046875,0.0299375,0.766135953125,29.850746268656714
12:12:16,0.7,16000,0.0016230917540530697,0.029583024994180234,0.1458544921875,0.0379375,0.765061546875,29.09090909090909
12:12:16,0.8,16000,0.002862367145822075,0.03857557415456803,0.1941258544921875,0.0493125,0.766269359375,27.77777777777778
12:12:16,0.9,16000,0.006208751244573764,0.05640226094513379,0.29751220703125,0.0665625,0.764048515625,23.88059701492537
12:12:16,0.95,16000,0.012090570356787875,0.07895043844522139,0.44944580078125,0.086,0.74890378125,20.050125313283207
16:16:16,0.0,2000,0.0,0.0,0.0,0.0,0.731548,21.73913043478261
16:16:16,0.1,16000,1.1387216286337054e-05,0.001928914618014949,0.012086860656738281,0.001625,0.73172521875,21.5633423180593
16:16:16,0.2,16000,4.482709762723271e-05,0.0037736101419091066,0.02353631591796875,0.0031875,0.7318423125,20.99737532808399
16:16:16,0.3,16000,0.00010343936458885555,0.0056822731662321945,0.035324935913085935,0.005375,0.73228315625,20.565552699228792
16:16:16,0.4,16000,0.00019390917560434978,0.00774086223662719,0.04799885559082031,0.0076875,0.732756640625,20.151133501259444
16:16:16,0.5,16000,0.00033031615957598804,0.010059021516466999,0.06216588592529297,0.0101875,0.733438609375,19.607843137254903
16:16:16,0.6,16000,0.0005465596302520653,0.01288891039099343,0.07928102111816407,0.01275,0.734311578125,18.73536299765808
16:16:16,0.7,16000,0.0009215957375813271,0.016702669645713437,0.10200946044921876,0.0161875,0.735600109375,17.937219730941703
16:16:16,0.8,16000,0.001670964200200794,0.022467432963569157,0.13549562072753907,0.02275,0.73765365625,16.949152542372882
16:16:16,0.9,16000,0.003516288395956381,0.03309058901042761,0.1959748229980469,0.0339375,0.73672796875,15.717092337917485
16:16:16,0.95,16000,0.005852690895530299,0.04342843963839242,0.25384768676757813,0.0451875,0.731386328125,15.037593984962406
24:24:24,0.0,2000,0.0,0.0,0.0,0.0,0.851571,9.900990099009901
24:24:24,0.1,16000,4.1569014085164046e-05,0.003003471380129991,0.013069594264030456,0.0090625,0.851628296875,9.950248756218905
24:24:24,0.2,16000,0.00017514208770945294,0.006184082481751579,0.026909405462443827,0.01475,0.851263546875,9.9626400996264
24:24:24,0.3,16000,0.0004295214249827126,0.009714479467929733,0.042259304136037824,0.021625,0.849175,9.7799511002445
24:24:24,0.4,16000,0.0008594283754240132,0.01386838714590757,0.0603078520745039,0.02975,0.84676878125,9.59232613908873
24:24:24,0.5,16000,0.001571691578417431,0.01904259253827648,0.08280640491843223,0.0383125,0.842509453125,9.25925925925926
24:24:24,0.6,16000,0.0027674635210385664,0.025833541925831826,0.11228458267450332,0.0551875,0.835245953125,8.658008658008658
24:24:24,0.7,16000,0.004979650709094537,0.03559492884398053,0.15464234203845262,0.0750625,0.822921921875,7.874015748031496
24:24:24,0.8,16000,0.009104520491432908,0.05042467731335925,0.21906577549129724,0.10075,0.80221221875,6.745362563237775
24:24:24,0.9,16000,0.019099771456240533,0.07870409833777677,0.3413492590636015,0.1600625,0.750146,5.111821086261981
24:24:24,0.95,16000,0.03210970846174156,0.10792093180079738,0.46735358092933893,0.2293125,0.67469721875,3.9820806371329023
